Product,month,rows
Checking or savings account,2025-12,3215
Checking or savings account,2026-01,3792
Checking or savings account,2026-02,1978
Checking or savings account,2026-03,3448
Checking or savings account,2026-04,3774
Checking or savings account,2026-05,3004
Checking or savings account,2026-06,2336
Credit card,2025-12,3183
Credit card,2026-01,3788
Credit card,2026-02,1983
Credit card,2026-03,3357
Credit card,2026-04,3599
Credit card,2026-05,2958
Credit card,2026-06,2022
Debt collection,2026-03,8249
Debt collection,2026-04,6638
Debt collection,2026-05,5520
Debt collection,2026-06,3600
"Money transfer, virtual currency, or money service",2025-06,1670
"Money transfer, virtual currency, or money service",2025-07,1932
"Money transfer, virtual currency, or money service",2025-08,1920
"Money transfer, virtual currency, or money service",2025-09,1634
"Money transfer, virtual currency, or money service",2025-10,2634
"Money transfer, virtual currency, or money service",2025-11,1673
"Money transfer, virtual currency, or money service",2025-12,1497
"Money transfer, virtual currency, or money service",2026-01,1767
"Money transfer, virtual currency, or money service",2026-02,981
"Money transfer, virtual currency, or money service",2026-03,1662
"Money transfer, virtual currency, or money service",2026-04,1842
"Money transfer, virtual currency, or money service",2026-05,1397
"Money transfer, virtual currency, or money service",2026-06,828
Student loan,2024-04,632
Student loan,2024-05,731
Student loan,2024-06,584
Student loan,2024-07,540
Student loan,2024-08,520
Student loan,2024-09,758
Student loan,2024-10,726
Student loan,2024-11,481
Student loan,2024-12,746
Student loan,2025-01,1209
Student loan,2025-02,992
Student loan,2025-03,1828
Student loan,2025-04,1148
Student loan,2025-05,1054
Student loan,2025-06,765
Student loan,2025-07,848
Student loan,2025-08,675
Student loan,2025-09,658
Student loan,2025-10,556
Student loan,2025-11,587
Student loan,2025-12,554
Student loan,2026-01,764
Student loan,2026-02,389
Student loan,2026-03,703
Student loan,2026-04,764
Student loan,2026-05,544
Student loan,2026-06,355
